# source	target	kind	note
雑踏	雑沓	pending	文化廳「同音の漢字による書きかえ」
離反	離叛	pending	文化廳「同音の漢字による書きかえ」
風刺	諷刺	pending	文化廳「同音の漢字による書きかえ」
飛語	蜚語	pending	文化廳「同音の漢字による書きかえ」
食尽	蝕甚	pending	文化廳「同音の漢字による書きかえ」
食欲	食慾	pending	文化廳「同音の漢字による書きかえ」
飢餓	饑餓	pending	文化廳「同音の漢字による書きかえ」
香典	香奠	pending	文化廳「同音の漢字による書きかえ」
骨格	骨骼	pending	文化廳「同音の漢字による書きかえ」
高揚	昂揚	pending	文化廳「同音の漢字による書きかえ」
高騰	昂騰	pending	文化廳「同音の漢字による書きかえ」
